"INSURANCE","Insurance ",
"LABOR ORGANIZATIONS","Labor and Employment",
"LABOR DEPT","Labor and Employment",
"JAILS","Crime",
"HAZARDOUS WASTES","Environmental",
"HARNESS RACING","Animal Rights and Wildlife Issues ",
"GAMBLING CONTROL BOARD","Gambling and Gaming ",
"FISHING","Animal Rights and Wildlife Issues ",
"FISH","Animal Rights and Wildlife Issues ",
"FINANCING","Commerce",
"ELECTRICIANS","Labor and Employment",
"EDUCATION","Education",
"DRIVER EDUCATION","Education",
"DISEASES","Health",
"DENTAL CARE","Health",
"DEFENSE AND VETERANS SERVICES DEPT","Military",
"CRIMINAL HISTORIES","Crime",
"COMMUNITY COLLEGE SYSTEM","Education",
"COLLEGES AND UNIVERSITIES","Education",
"CLEAN ELECTION REVISED","Campaign Finance and Election Issues ",
"CAMPAIGNS","Campaign Finance and Election Issues ",
"BRIDGES","Transportation",
"ATTORNEY GENERAL DEPT","Legal Issues",
"APPEALS","Legal Issues ",
"ALL-TERRAIN VEHICLES","Transportation",
"ABUSE","Crime",
"WILDLIFE","Animal Rights and Wildlife Issues ",
"WASTEWATER DISCHARGES","Environmental",
"WASHINGTON COUNTY DEVELOPMENT AUTHO","Municipal and County Issues ",
"WARDENS","Crime",
"VETERINARIANS","Animal Rights and Wildlife Issues ","Labor and Employment "
"UTILITIES","Public Services ",
"UNIFORM LAWS","Legal Issues ",
"UNFAIR TRADE","Trade ",
"TOURISM OFFICE","Recreation",
"TORTS","Legal Issues ",
"TOBACCO PRODUCTS TAX","Drugs ",
"TIMBER HARVESTING","Environmental",
"TELEPHONE SYSTEMS","Technology and Communication",
"STUDY","Education",
"STATE PLANNING OFFICE","State Agencies ",
"STATE PERSONNEL","Labor and Employment ",
"STATE MUSEUM","Arts and Humanities",
"STATE CONSTITUTION AMENDMENTS","Government Reform ",
"STATE BOARDS","State Agencies ",
"SOLITARY CONFINEMENT","Crime ",
"SEASONAL FARM WORKER TIME REVISED","Agriculture and Food ",
"SCHOOL WITHDRAWAL FROM RSU","Education",
"RESIDENTIAL CARE","Health","Housing and Property "
"RESEARCH AND DEVELOPMENT","Science and Medical Research",
"REAL ESTATE TRANSFER TAX","Housing and Property ",
"PUBLIC TRANSPORTATION","Transportation",
"PROPERTY","Housing and Property ",
"PROPANE","Energy ",
"PROBATION","Legal Issues ",
"PRIVATE SCHOOLS","Education ",
"PRIVATE SCHOOL TUITION","Education",
"PINE TREE DEVELOPMENT ZONE REVISED","Environmental ",
"PHYSICAL EDUCATION","Education ",
"OXFORD COUNTY","Municipal and County Issues ",
"OMNIBUS","Transportation ",
"OIL AND SOLID FUEL DEALERS","Energy",
"NURSING FACILITY PROJECTS","Health ",
"NURSES","Health ",
"NOISE EMISSION REQUIREMENTS","Legal Issues ",
"NATURAL GAS","Energy ",
"MUNICIPAL OFFICERS","Municipal and County Issues ",
"MINIMUM WAGE","Labor and Employment",
"METHADONE PROHIBITIONS WHILE DRIVIN","Transportation","Health"
"MENTAL HEALTH PROVIDERS","Health",
"MEDICAL MARIJUANA","Health","Legal Issues "
"MANUFACTURED HOUSING","Housing and Property",
"MAGNET SCHOOLS","Education",
"LOTTERY PROVISIONS","Gambling and Gaming ",
"LIMITED LIABILITY COMPANIES","Legal Issues ",
"LIENS AND DISCHARGES","Legal Issues ",
"LIABILITY","Legal Issues ",
"LANDOWNER ACCESS","Housing and Property ",
"LABOR RELATIONS","Labor and Employment",
"LABOR LAWS FOR MINORS REVISED","Labor and Employment",
"JUVENILE OFFENDERS","Crime ",
"JUDICIAL DEPT","Judiciary ",
"JOB OPPORTUNITY ZONES","Labor and Employment ",
"INVASIVE AQUATIC SPECIES CONTROL","Animal Rights and Wildlife Issues ",
"INLAND FISHERIES AND WILDLIFE","Animal Rights and Wildlife Issues ",
"INJURIES","Health ",
"INGREDIENTS IN VACCINES","Health ",
"INCENTIVES FOR HIRING UNEMPLOYED WO","Labor and Employment",
"HUNTING REGULATIONS REVISED","Animal Rights and Wildlife Issues ",
"HOME SCHOOLING","Education",
"HOME HEALTH CARE","Health",
"HEALTH SYSTEMS DEVELOPMENT ADV CNCL","Health",
"HEALTH INSURANCE FOR UNIT EMPLOYEES","Health","Insurance"
"HEALTH EDUCATION","Health","Education"
"HEALTH CARE RECORDS","Health",
"HEAD INJURIES","Health",
"GULF OF ME RESEARCH INST","Science and Medical Research","Environmental"
"GROUND WATER","Environmental ",
"GENERAL HIGHWAY FUND","Transportation",
"FY11","Budget, Spending, and Taxes",
"FOSTER CARE","Family and Children Issues",
"FORECLOSURE PROCEDURES","Housing and Property",
"FIREWORKS","Recreation",
"FARMS","Agriculture and Food ",
"EXTRACURRICULAR ACTIVITIES","Recreation","Education"
"EXEMPT PROPERTY","Housing and Property",
"EVIDENCE","Legal Issues ",
"ENERGY SERVICE CONTRACTS","Energy",
"ENERGY INDEPENDENCE AND SECURITY OF","Energy",
"ENERGY EFFICIENCY IMPROVEMENTS","Energy",
"EMPLOYEE BENEFITS","Labor and Employment",
"EMERGENCY MEDICAL SERVICES","Health",
"ELDER","Senior Issues ",
"DUTIES CLARIFIED","Labor and Employment",
"DISPENSING FUNDS","Budget, Spending, and Taxes",
"DEVELOPMENTALLY DISABLED PERSONS","Health",
"DENTAL","Health",
"DEBT COLLECTION","Budget, Spending, and Taxes",
"DANGEROUS DOGS","Animal Rights and Wildlife Issues ",
"COYOTES","Animal Rights and Wildlife Issues ",
"COUNTY BUDGETS","Municipal and County Issues ",
"COST REDUCTION","Budget, Spending, and Taxes",
"CONSUMER CREDIT CODE","Business and Consumers ",
"CONSUMER CREDIT","Business and Consumers ",
"CONSTITUTIONAL AMENDMENTS","Government Reform ",
"COMPUTERS","Technology and Communication",
"COMPUTER","Technology and Communication",
"COMMISSION TO STUDY","Education",
"CLEAN ELECTION FUNDS FOR GOVERNOR","Campaign Finance and Election Issues ",
"CHILD CARE","Family and Children Issues","Health"
"CELL PHONE USE","Technology and Communication",
"CANDIDATES","Campaign Finance and Election Issues ",
"BUSES","Transportation",
"BUDGET","Budget, Spending, and Taxes",
"BRIDGE AT ME-NH STATE LINE","Transportation",
"BALLOTS","Campaign Finance and Election Issues ",
"ASSAULT","Crime",
"APPLIED TECHNOLOGY EDUCATION","Technology and Communication","Education"
"ANNIVERSARIES","Resolutions ",
"AERONAUTICS","Technology and Communication",
"ZONING AND PERMITTING","Municipal and County Issues ",
"YOUTH LICENSES","Family and Children Issues",
"YOUTH COMMUNITY SERVICES DIRECTOR","Family and Children Issues",
"YOUTH","Family and Children Issues",
"YORK COUNTY","Municipal and County Issues ",
"WRITE CANDIDATES FOR TOWN ELECTIONS","Campaign Finance and Election Issues ",
"WORKPLACE TEMPERATURES","Labor and Employment",
"WORKPLACE DISEASES","Labor and Employment",
"WORKING GROUP TO STUDY","Education",
"WOLF HYBRID PERMIT REGULATION","Animal Rights and Wildlife Issues ",
"WITHDRAWAL FROM ISO-NE AND RGGI","Energy","Environmental"
"WIRELESS PROTECTION FOR CHILDREN","Family and Children Issues",
"WIND ENERGY DEVELOPERS INELIGIBLE","Energy",
"WILLIAMS RD IN NEWPORT","Transportation",
"WILLIAM KING DAY","Resolutions ",
"WILD MUSHROOM HARVESTING CERTIFICAT","Agriculture and Food ",
"WHOOPIE PIE AS STATE DESSERT","Resolutions ",
"WHITEWATER RAFTING","Recreation",
"WESGET SIPU TRIBE","Indigenous Peoples",
"WELCOME HOME BONUS FOR VETERANS","Military",
"WEBSITE WITH BUDGET AND EXPENDITURE","Budget, Spending, and Taxes",
"WEATHERIZE AND ENERGY EFFICIENCY","Energy",
"WEAPONS OFFENSES","Crime",
"WATER SKI COURSES ON SMALL PONDS","Recreation",
"WASTE WATER AND DRINKING WATER","Environmental",
"WASTE OIL DISPOSAL SITE REMEDIATION","Environmental",
"WASHINGTON JUNETEENTH NATIONAL HOLI","Resolutions ",
"WAIVED IF CAUSED BY PUBLIC RECREATI","Resolutions ",
"VOLUNTARY MUNICIPAL FARM SUPPORT","Municipal and County Issues ",
"VOLUNTARY MEMBERSHIP FOR PUBLIC EMP","Public Services",
"VIRTUAL SCHOOL PROGRAM","Education",
"VIETNAM VETERANS RECOGNITION DAY","Military","Resolutions"
"VIDEO GAMING","Gambling and Gaming ",
"VICTIMS COMPENSATION FUND","Crime",
"VETERINARY PRESCRIPTIONS","Labor and Employment","Animal Rights and Wildlife Issues"
"VETERANS HEALTH FACILITY IN LEWISTO","Health","Military"
"VETERANS DAY OFF WITH FULL PAY","Military",
"VETERANS CEMETERY IN SPRINGVALE","Military",
"VETERANS AND ELDERLY,  ANY DEER PER","Military","Senior Issues "
"VETERAN DESIGNATION","Military ",
"VESSELS MAY CARRY MENHADEN","Animal Rights and Wildlife Issues ","Agriculture and Food "
"VEHICLES USED IN GOVERNMENT SERVICE","Transportation",
"VEHICLES FOR HIRE","Transportation",
"VEGETABLE GARDENS REQUIRED AT PRISO","Crime",
"VARIOUS TAX PROVISIONS REVISED","Budget, Spending, and Taxes",
"VARIABLE ANNUITY AND MULTIPLE EMPLO","Labor and Employment",
"VALUE TAKING BY WIND ENERGY DEVELOP","Energy",
"VALUATION OF REAL PROPERTY","Housing and Property",
"VACANT PROPERTY TO OCCUPIED COMMERC","Housing and Property",
"USED CARS","Transportation",
"USE OF DATA LIMITED","Technology and Communication",
"URGING CONGRESS TO CEASE CERTAIN MA","Federal, State, and Local Relations ",
"URGING CANADA TO END ANNUAL SEAL PU","Federal, State, and Local Relations ",
"UNINSURED COVERAGE","Insurance ",
"UNIFORM LABOR MARKET VALUE","Labor and Employment",
"UNIFORM ADULT GUARDIANSHIP AND PROT","Family and Children Issues",
"UNFUNDED MANDATES","Budget, Spending, and Taxes",
"UNFUNDED LIABILITIES OF PERS","Budget, Spending, and Taxes",
"UNFAIR BUSINESS PRACTICES","Business and Consumers ",
"UNEMPLOYMENT INSURANCE WORKSHARE PR","Labor and Employment",
"UNEMPLOYED MAY TAP FUNDS TAX FREE","Labor and Employment",
"UNDOCUMENTED WORKERS","Labor and Employment",
"UNDERGROUND TANKS","Environmental",
"UNDER AGE 21 PROHIBITED","Legal Issues",
"UNCLAIMED REMAINS OF VETERANS","Military",
"UNCLAIMED PROPERTY DISPOSAL","Housing and Property",
"TWO MOOSE SEASONS IN WMD 8","Animal Rights and Wildlife Issues ",
"TURN SIGNALS","Transportation",
"TUITION SUBSIDY BY TOWNS","Education",
"TRUST FUNDS","Commerce",
"TRUCK LAWS","Transportation",
"TRUCK AXLE WEIGHTS","Transportation",
"TRUANTS AND DROPOUTS","Legal Issues",
"TRIBES EXEMPT FROM FOIA","Indigenous Peoples",
"TRIBALLY OPERATED REVISED","Indigenous Peoples",
"TRIBAL REPRESENTATION IN SENATE","Indigenous Peoples",
"TRIBAL HIGH STAKES BEANO","Indigenous Peoples",
"TREE REPLACEMENT","Environmental",
"TRANSPORTATION, BROADBAND, DOWNTOWN","Transportation",
"TRANSPORTATION COSTS","Transportation",
"TRANSPORTATION CONTRACTS","Transportation",
"TRANSPARENCY IN GOVERNMENT","Transportation",
"TRANSITION TO GUARDIANSHIP AND POWE","Family and Children Issues",
"TRANSIT BONUS FUNDING STRENGTHENED","Budget, Spending, and Taxes",
"TRANSFERS TO FARM AND OPEN SPACE","Agriculture and Food ",
"TRANSFERS OF ASSETS","Legal Issues",
"TRANSFER TO CONSERVATION DEPT","Energy",
"TRANSFER TO AGRICULTURE DEPT","Agriculture and Food ",
"TRANSFER SURPLUS FUNDS TO DOT","Budget, Spending, and Taxes",
"TRANSCAP TRUST FUND REPEALED","Budget, Spending, and Taxes",
"TOXIC CHEMICALS IN CHILDRENS PRODUC","Environmental","Health"
"TOXIC CHEMICAL REDUCTION","Environmental",
"TOWNS MAY OWN BUS STOPS","Transportation",
"TOWNS HAVE RIGHT TO RESTRICT POSSES","Municipal and County Issues ",
"TOWNS EXEMPT FROM INDEMNIFICATION","Municipal and County Issues ",
"TOWN WARRANT","Crime",
"TOWN SAND AND SALT STORAGE","Municipal and County Issues ",
"TOWN OWNED STREET LIGHTS ON UTILITY","Municipal and County Issues ",
"TOWN OPERATIONS EXEMPT FROM LICENSI","Municipal and County Issues ",
"TOW TRUCKS USED IN ACCIDENTS","Transportation",
"TORT CLAIMS","Legal Issues",
"TOP EARNERS IN BUSINESS RECEIVING S","Business and Consumers ",
"TOBACCO PRODUCTS","Health",
"TIRES","Transportation",
"TIMELY RESOLUTION OF CLAIMS","Legal Issues",
"THEFTS","Crime ",
"TEXTBOOKS","Education",
"TEXT MESSAGING WHILE DRIVING PROHIB","Transportation",
"TEXAS HOLD-EM TOURNAMENTS","Gambling and Gaming ",
"TESTING FOR HIV AND AIDS","Health",
"TELECOMMUNICATIONS EXCISE TAX","Technology and Communication",
"TELECOIL TECHNOLOGY FOR ELDERLY WIT","Technology and Communication","Senior Issues "
"TECHNICAL CHANGES TO TAX LAWS","Budget, Spending, and Taxes","Legal Issues "
"TAX RELIEF","Budget, Spending, and Taxes",
"TAX INCREASE REQUIRES VOTER APPROVA","Budget, Spending, and Taxes",
"TAX EXPENDITURE FUNDING","Budget, Spending, and Taxes",
"TAX CODE REVISED","Budget, Spending, and Taxes",
"TANGIBLE BENEFIT/COMMUNITY BENEFIT","Public Services",
"TAGGING FEES","Transportation",
"TAG FEES","Transportation",
"TABLE GAMES AT HOLLYWOOD SLOTS","Gambling and Gaming ",
"T3R9NWP TO CEDAR LAKE TWNSHP","Municipal and County Issues ",
"SYNTHETIC MARIJUANA","Health",
"SUSTAINABILITY STUDY","Education",
"SURPLUS PROPERTY","Housing and Property",
"SUMMER FEEDING PROGRAMS","Health",
"SUBSTANCE ABUSE COUNSELORS","Health",
"SUBSIDY FOR ECONOMICALLY DISADVANTA","Commerce",
"SUBJECT TO FREEDOM OF ACCESS LAWS","Legal Issues",
"STUDY GROUP TO UPDATE","Education",
"STUDY COMMITTEE TO REVITALIZE ECONO","Commerce",
"STUDENTS WITH ASD","Education",
"STUDENTS RECORDS","Education",
"STUDENT VISAS AND PUBLIC SCHOOLS","Education",
"STUDENT FINANCIAL AID","Education",
"STUDDED TIRES","Transportation",
"STREET ROD AND CUSTOM VEHICLES","Transportation",
"STREAMLINED PROCESS IN COURTS","Legal Issues",
"STOPPING RECREATION VEHICLES","Transportation",
"STOPPING ATVS AND SNOWMOBILES","Transportation","Recreation"
"STATUS DETERMINATION DURING LAWFUL","Legal Issues",
"STATE PROPERTY","Housing and Property",
"STATE PLAN FOR MSSM EMPLOYEES","Labor and Employment",
"STATE PLAN AVAILABLE TO PUBLIC","Public Services",
"STATE PARKS","Recreation","Environmental"
"STATE LIBRARY","Public Services",
"STATE HOUSING AUTHORITY","Housing and Property",
"STATE HOUSE ENERGY AUDIT","Housing and Property","Energy"
"STATE GRANT PROGRAM","Commerce",
"STATE BOARD MEMBERSHIP","State Agencies",
"STATE AND LOCAL GOVERNMENT","Federal, State, and Local Relations ",
"STANDARDS FOR RESEARCH","Science and Medical Research",
"STANDARDBRED HORSE BREEDING","Animal Rights and Wildlife Issues ",
"STAFFING RATIOS STUDY COMMISSION","Labor and Employment",
"SPRING BEAR HUNT","Animal Rights and Wildlife Issues ",
"SPOUSE CAN NOT TEACH, REPEAL","Family and Children Issues","Education"
"SPOUSE CAN NOT BE EMPLOYED, REVISED","Family and Children Issues","Labor and Employment "
"SPORTS TEAMS FUNDRAISING","Recreation",
"SPEECH PATHOLOGISTS","Labor and Employment","Health"
"SOLID WASTE MANAGEMENT FUND","Environmental",
"SOLID WASTE FACILITY HOST TOWNS AND","Environmental",
"SOLAR AND WIND","Energy",
"SOCIAL SECURITY SURVIVOR BENEFITS","Labor and Employment",
"SOCIAL SECURITY NUMBER USE PROHIBIT","Labor and Employment",
"SNOW DUMPING","Public Services",
"SMOKER PROHIBITED FROM RECEIVING BE","Health",
"SMOKE FREE POLICY DISCLOSURE","Health","Legal Issues "
"SMART METERS, ONE YEAR MORATORIUM","Transportation",
"SMART METERS LIMITED","Transportation",
"SMART METER PRIVACY","Transportation",
"SMALL GAME AND BIRDS","Animal Rights and Wildlife Issues ",
"SMALL FOOD PRODUCERS","Agriculture and Food ",
"SMALL CLAIMS","Legal Issues",
"SMALL BUSINESS TO RETAIN 5 PERCENT","Business and Consumers ",
"SMALL BUSINESS RELIEF","Business and Consumers ",
"SMALL BUSINESS INVESTMENT DEPRECIAT","Business and Consumers ",
"SMALL BUSINESS","Business and Consumers ",
"SLOT MACHINE REVENUE","Gambling and Gaming ",
"SITING FOR TURBINES","Energy",
"SIGNS FOR SMALL BUSINESSES","Business and Consumers ",
"SICK LEAVE","Labor and Employment",
"SHORTER LAYOFF NOTICE PERIOD","Labor and Employment",
"SHORT TERM FUNDING","Budget, Spending, and Taxes",
"SHOOTING FROM MOTORBOAT","Transportation","Crime"
"SHARED LIVING PROGRAMS","Housing and Property",
"SEX OFFENDER RESIDENCE","Crime",
"SEWER DISTRICT COLLECTION PROCEDURE","Environmental",
"SEVERING JOINT TENANCY","Housing and Property",
"SERVICES IN HOSPITALS","Health",
"SENIOR HOUSING IN NEWPORT, SEED MON","Senior Issues ",
"SENATORS ELECTED BY COUNTY","Campaign Finance and Election Issues ",
"SELF-SERVICE STORAGE","Business and Consumers ",
"SELF INSURANCE","Insurance ",
"SEED CAPITAL TAX CREDIT","Budget, Spending, and Taxes",
"SECONDARY OFFENSE","Crime ",
"SEAWALL","Environmental",
"SEAT BELTS","Transportation",
"SEASONAL FARM WORK EXEMPT","Agriculture and Food ",
"SEASONAL ENTERTAINMENT FACILITIES","Recreation",
"SEASONAL COTTAGES EXEMPT FROM CODE","Housing and Property",
"SEARCHES AND SEIZURES","Crime",
"SEAFOOD PROCESSING EXEMPT FROM WAST","Agriculture and Food ",
"SEAFOOD BULK SALES WORLDWIDE","Agriculture and Food ",
"SCOPE OF WORK EXPANDED","Labor and Employment",
"SCIENCE, TECHNOLOGY, ENGINEERING, M","Science and Medical Research","Technology and Communication"
"SCIENCE, TECH, MATH AND ENGINEERING","Technology and Communication",
"SCIENCE ADVISORY BOARD","Science and Medical Research",
"SCHOOLS, PENALTIES ENHANCED","Education",
"SCHOOLS AND LIBRARIES","Education",
"SCHOOLCHILDREN WELLBEING STAKEHOLDE","Education",
"SCHOOL DISTRICTS","Education",
"SCHOOL DAY","Education",
"SCHOOL CHOICE","Education",
"SCHOOL BUS","Education",
"SCHOLARSHIP GRANT ORGANIZATION","Education",
"SAVAGE COMPANIES","Business and Consumers ",
"SANFORD SEWERAGE DISTRICT","Environmental",
"SAND DUNES","Environmental",
"SALTWATER RECREATIONAL FISHING LICE","Agriculture and Food ",
"SALTWATER FISHING LICENSE FOR DOCK","Agriculture and Food ",
"SALT WATER FISHING REGISTRY","Agriculture and Food ",
"SALMON","Agriculture and Food ",
"SALES TO NONPROFIT ANIMAL SHELTERS","Animal Rights and Wildlife Issues ",
"SALES TO MINORS","Family and Children Issues",
"SALES TAX HOLIDAYS","Budget, Spending, and Taxes",
"SALES TAX FREE DAY FOR ENERGY EFFIC","Budget, Spending, and Taxes",
"SALE OF RAW MILK","Agriculture and Food ",
"SALE OF LAND IN SCARBOROUGH","Housing and Property",
"SALARIES FOR ADMINISTRATORS","Labor and Employment",
"SAFE DRINKING WATER","Environmental",
"RUSSIAN OLIVE, PROHIBIT SALES","Agriculture and Food ",
"RT 2 IN LINCOLN MASTER SGT GARY GOR","Transportation",
"RT 1 FROM MADAWASKA TOWARDS VAN BUR","Transportation",
"RT 1 AND MANKTOWN RD IN WALDOBORO A","Transportation",
"RSU 12, NO SCHOOL CHOICE K-8","Transportation",
"ROTATIONAL GRAZING","Agriculture and Food ","Animal Rights and Wildlife Issues"
"ROAD AND BRIDGE CONSTRUCTION","Transportation",
"RIVERS","Environmental",
"RIGHTS-OF-WAY","Transportation",
"RIGHTS OF PROPERTY OWNERS","Housing and Property",
"RIGHTS OF MENTALLY ILL PERSONS","Health ",
"RIGHTS OF EMPLOYEES","Labor and Employment",
"RETIREMENT INCOME","Labor and Employment",
"RETIREMENT AGE 65","Labor and Employment",
"RESTROOMS","Public Services",
"RESTRICTIONS ON COYOTES REMOVED","Animal Rights and Wildlife Issues ",
"RESTITUTION REPAYMENTS","Legal Issues",
"RESTITUTION","Legal Issues",
