"HB 1759","""Old School for the Blind"" Property; authorize Department of Finance and Administration to sell and convey or lease.","Other","State Agencies",,
"HB 1367","""Old School for the Blind""; authorize Secretary of State to lease for purposes of redevelopment.","Other","State Agencies",,
"HB 857","""Truth in Grading Act""; create to require school district to adopt a uniform grading policy.","Education",,,
"SB 2587","""Truth in Grading Act""; create to require school district to adopt a uniform grading policy.","Education",,,
"HB 860","""Truth in Grading Act""; create to require the State Board of Education to adopt a uniform grading policy for the state.","Education",,,
"SB 2929","""Truth in Grading Act""; create to require the State Board of Education to adopt a uniform grading policy for the state.","Education",,,
"HC 143","1984 Rust College Lady Bearcats Basketball Team; commend upon being inducted into the inaugural Rust College Athletic Hall of Fame.","Resolutions",,,
"HC 54","2009 Ole Miss Rebels Football Team; commend.","Resolutions",,,
"HR 105","2010 Greenwood Public School District retirees; congratulate for numerous years of dedicated service.","Resolutions",,,
"HC 91","210th Financial Management Company and 220th Financial Management Detachment; commend exemplary service to this state and nation.","Resolutions",,,
"HB 1113","85% rule; prohibit application to DOC inmates under 21 years of age who have committed certain drug crimes.","Crime",,,
"HB 1172","911 address; require owners and renters to obtain.","Public Services",,,
"HC 73","A resolution affirming the sovereignty of the people of the State of Mississippi.","Resolutions",,,
"HC 148","Aaron E. Henry Community Health Services Center, Inc.; commend commitment to health care and partnering with the Heinz Family Philanthropic Foundation.","Resolutions",,,
"HR 120","Aaron E. Henry Community Health Services Center, Inc.; commend commitment to health care and partnering with the Heinz Family Philanthropic Foundation.","Resolutions",,,
"HB 472","Abortion Complication Reporting Act; require certain professionals to report treatment for emotional trauma.","Reproductive Issues","Health",,
"HB 1150","Abortion coverage; prohibit in qualified health plans offered through an exchange.","Reproductive Issues","Health","Insurance",
"HB 253","Abortion; felony to transport minor to another state to receive without parental consent.","Reproductive Issues","Crime","Family and Children Issues",
"HB 265","Abortions; physicians performing in clinics must be board certified in OB/GYN.","Reproductive Issues","Health",,
"SB 2192","Abortions; physicians performing in clinics must be board certified in OB/GYN.","Reproductive Issues","Health",,
"SB 2298","Abortions; physicians performing in clinics must have medical malpractice insurance from a company licensed in Mississippi.","Reproductive Issues","Health","Insurance",
"SB 2166","Abortions; prohibit abortion of a human being based upon a determination of the gender or race of the human being.","Reproductive Issues","Crime",,
"SB 2292","Abortions; prohibit in State of Mississippi.","Reproductive Issues",,,
"SB 2878","Absentee ballot; require ballots to be sent automatically to persons 65 years of age or older upon written request.","Campaign Finance and Election Issues",,,
"SB 2954","Absentee ballots; allow all persons qualified to vote by absentee ballot to do so by mail.","Campaign Finance and Election Issues",,,
"SB 2337","Absentee ballots; require application of temporarily disabled to be accompanied by a statement from a doctor or nurse.","Campaign Finance and Election Issues",,,
"SB 2879","Absentee ballots; revise the manner in which absentee ballots are counted.","Campaign Finance and Election Issues",,,
"HB 413","Abuse of school officials and personnel; include students in list of persons who may be charged with.","Education","Crime",,
"SB 2488","Accumulated personal leave; authorize transfer between state and county agencies.","State Agencies","Municipal/County Issues",,
"SC 699","Acknowledge 40th Anniversary of Gibbs-Green Memorial Observance.","Reproductive Issues",,,
"SC 622","Acknowledge the state of poverty in Mississippi and need for improved economic viability.","Welfare and Poverty","Resolutions",,
"HB 423","Acquittal by reason of insanity; clarify release from treatment.","Crime","Legal Issues",,
"HB 1390","Acquittal by reason of insanity; revise release from treatment.","Crime","Legal Issues",,
"SB 2265","Ad valorem and sales tax; exempt certain foundation that provide support to state institutions of higher learning.","Budget, Spending and Taxes","Education",,
"SB 2693","Ad valorem school taxes; no annual publication requirements if no millage rate increase is proposed.","Budget, Spending and Taxes","Education",,
"SB 2189","Ad valorem school taxes; revise school board annual publication requirements.","Budget, Spending and Taxes","Education",,
"SB 2460","Ad valorem tax, homestead property; exempt portion of increase in assessed value above assessed value for preceding year.","Budget, Spending and Taxes","Housing and Property",,
"HB 1564","Ad valorem tax; authorize partial exemption for agricultural land that is converted to a residential use.","Budget, Spending and Taxes","Agriculture and Food",,
"SB 2288","Ad valorem tax; authorize partial exemption for agricultural land that is converted to a residential use.","Budget, Spending and Taxes","Agriculture and Food",,
"HB 37","Ad valorem tax; bring forward certain sections of law regarding assessment of property for purposes of.","Budget, Spending and Taxes","Housing and Property",,
"HB 1571","Ad valorem tax; create 10% cap on increase in assessed value of agricultural property and commercial poultry houses.","Budget, Spending and Taxes","Agriculture and Food",,
"HB 445","Ad valorem tax; exempt business inventories from.","Budget, Spending and Taxes","Business and Consumers",,
"SB 2303","Ad valorem tax; increase mills that municipalities may levy for recreational purposes.","Budget, Spending and Taxes",,,
"SB 2208","Ad valorem tax; increase the maximum number of mills that can be levied for parks and playgrounds.","Budget, Spending and Taxes",,,
"SB 2500","Ad valorem tax; local governing authorities may grant an exemption of homesteads of certain residents serving in Iraq or Afghanistan.","Budget, Spending and Taxes","Military",,
"HB 1600","Ad valorem tax; local governing authorities may grant an exemption on homesteads of certain residents serving in Iraq or Afghanistan.","Budget, Spending and Taxes","Military",,
"HB 1182","Ad valorem tax; provide a rebate to businesses that pay tax on inventory.","Budget, Spending and Taxes","Business and Consumers",,
"HB 71","Ad valorem tax; remove provisions that prescribe the manner of determining true value of affordable rental housing.","Budget, Spending and Taxes","Housing and Property",,
"HB 388","Ad valorem tax; require cities/counties to reduce millage rate for purposes of proposed increase where assessed value increases.","Budget, Spending and Taxes",,,
"HB 501","Ad valorem tax; require cities/counties to reduce millage rate for purposes of proposed increase where assessed value increases.","Budget, Spending and Taxes",,,
"HB 651","Ad valorem tax; require tax collector to provide notice to owner before advertising land for which taxes have not been paid.","Budget, Spending and Taxes","Housing and Property",,
"HB 1146","Ad valorem tax; revise bond amount for appeal of assessment by local governing authorities.","Budget, Spending and Taxes","Municipal/County Issues",,
"HB 1171","Ad valorem tax; revise bond amount for appeal of assessment by local governing authorities.","Budget, Spending and Taxes","Municipal/County Issues",,
"HB 295","Ad valorem tax; revise date and amount for which cities/counties may allow partial payments, revise interest rate on unpaid taxes.","Budget, Spending and Taxes","Municipal/County Issues",,
"HB 301","Ad valorem tax; revise manner of determining true value of affordable rental housing and exempt portion of true value.","Budget, Spending and Taxes","Housing and Property",,
"SB 2231","Ad valorem taxation; exempt a portion of the assessed value of egg houses, pullet houses and broiler houses.","Budget, Spending and Taxes","Agriculture and Food",,
"HB 1586","Ad valorem taxation; exempt pollution control equipment mandated by federal or state law.","Budget, Spending and Taxes","Environmental",,
"HB 910","Ad valorem taxation; exempt pollution control equipment mandated by federal or state law.","Budget, Spending and Taxes","Environmental",,
"SB 2289","Ad valorem taxation; exempt pollution control equipment mandated by federal or state law.","Budget, Spending and Taxes","Environmental",,
"HB 290","Ad valorem taxation; revise definition of ""head of a family"" and ""home"" or ""homestead"" under the homestead exemption law.","Budget, Spending and Taxes","Housing and Property",,
"HB 503","Ad valorem taxation; revise manner of determining true value of homestead property.","Budget, Spending and Taxes","Housing and Property",,
"SB 2318","Ad valorem taxation; revise the definition of ""home"" or ""homestead"" under the homestead exemption law.","Budget, Spending and Taxes","Housing and Property",,
"SB 2031","Ad valorem taxes; authorize cities to designate areas in which certain residences are exempt from city ad valorem taxes.","Budget, Spending and Taxes","Municipal/County Issues",,
"HB 305","Ad valorem taxes; delete school boards' authority to increase without referendum approval.","Budget, Spending and Taxes","Education",,
"HB 493","Ad valorem taxes; delete school boards' authority to increase without referendum approval.","Budget, Spending and Taxes","Education",,
"SB 2687","Ad valorem taxes; remove the provision that prescribes the manner in which affordable rental housing must be appraised.","Budget, Spending and Taxes","Housing and Property",,
"SB 2712","Ad valorem taxes; revise advertising requirements when county proposes no millage increase.","Budget, Spending and Taxes","Commerce",,
"HB 777","Ad valorem taxes; revise advertising requirements when school district proposes no millage increase.","Budget, Spending and Taxes","Commerce","Education",
"SB 2569","Ad valorem taxes; revise advertising requirements when school district proposes no millage increase.","Budget, Spending and Taxes","Commerce","Education",
"HB 770","Ad valorem taxes; school district not required to advertise revenue increase when district proposes no millage increase.","Budget, Spending and Taxes",,,
"HB 1753","Adams County; prohibit certain actions of St. Catherine Creek Utility Authority.","Municipal/County Issues",,,
"HB 1561","Adams County; revise jurisdiction of St. Catherine Creek Utility Authority.","Municipal/County Issues",,,
"SN 33","Adele Louise Crudden, Starkville, Mississippi, Mississippi Industries for the Blind, term effective immediately and ending June 30, 2010, representing an educator in the field of rehab.","Other",,,
"SB 2228","Adequate education program appropriation and local school district budgets to identify program funding categories; require.","Education","Budget, Spending and Taxes",,
"SB 2501","Administration of public education; delete automatic repealers on statutes relating to.","Education",,,
"SB 2710","Administrative merger of ASU with JSU; direct IHL to implement.","Other",,,
"SB 2794","Administrative merger of MUW with MSU; direct IHL to implement.","Other",,,
"SB 2701","Administrative merger of MVSU with JSU; direct IHL to implement.","Other",,,
"HB 768","Administrative Office of Courts; may disclose to DPS certain information concerning children that is stored in office's data system.","Judiciary",,,
"SB 2247","Adoptions and child support orders regarding same sex couples; shall not be enforced by the courts of this state.","Family and Children Issues","Judiciary",,
"SB 2195","Adult day care assisted living services; authorize Division of Medicaid to establish program.","Health",,,
"HB 212","Advanced practice registered nurses; extend repealer on licensing provisions of.","Health",,,
"HB 754","Affordable and quality low-income housing; establish initiatives to improve.","Housing and Property",,,
"SB 2602","Affordable and quality low-income housing; establish initiatives to improve.","Housing and Property",,,
"HB 1021","Affordable housing; create trust fund to assist in development, rehabilitation and preservation of.","Housing and Property",,,
"SB 2549","Age of majority; eighteen.","Legal Issues",,,
"HB 496","Agency rules and regulations; require legislative approval.","State Agencies","Legislative Affairs",,
"SB 2681","Agent for service of process; Model Registered Agents Act (ULC).","Other",,,
"SB 2470","Agreement between child development tech programs at the community colleges and the universities; require.","Education","Family and Children Issues",,
"SB 3061","Agriculture; consolidate several agencies.","Agriculture and Food","State Agencies",,
"HB 645","Agritourism activities; provide an exemption from liability to persons who engage in.","Agriculture and Food","Commerce",,
"HB 1124","Airport authorities; authorize to enter into certain contracts.","Transportation",,,
"SB 2979","Airports; allow airport authority to enter into contracts without limitation of vendor's liability if commercially reasonable.","Transportation",,,
"SB 3012","Airports; exempt parking revenue from sales tax.","Transportation",,,
"SN 38","Al Richards (Rick) Elam, Oxford, Mississippi, State Board of Public Accountancy, term effective immediately and ending December 31, 2014, representing the 1 CD.","State Agencies",,,
"HR 44","Alan Bank; commend and congratulate upon being named Tupelo's Outstanding Citizen of the Year.","Resolutions",,,
"SN 3","Alan Hines Walters, Jackson, Mississippi, Mississippi Business Finance Corporation, six year term beginning July 1, 2009 and ending June 30, 2015.","Business and Consumers",,,
"HB 589","Alcohol; allow certain direct shipments of wine from out of state.","Legal Issues",,,
"HB 592","Alcohol; increase excise tax and markup on alcoholic beverages, increase excise tax on light wine and beer.","Legal Issues","Budget, Spending and Taxes",,
"SB 2030","Alcoholic beverages and beer; require separate election to allow sale of when a wet city annexes a portion of a dry county.","Legal Issues","Municipal/County Issues",,
"SB 2515","Alcoholic beverages, light wine and beer permits; suspend or revoke for the discharge of a firearm on the premises.","Legal Issues","Guns",,
"HB 481","Alcoholic beverages, light wine and beer; allow any municipality in dry county to vote on legalizing sales of in the municipality.","Legal Issues","Municipal/County Issues",,
"HB 1284","Alcoholic beverages, light wine and beer; allow any municipality in dry county to vote on legalizing sales.","Legal Issues","Municipal/County Issues",,
"SB 2747","Alcoholic beverages, light wine and beer; allow municipalities in dry county to vote on legalizing sales of in the municipality.","Legal Issues","Municipal/County Issues",,
"HB 238","Alcoholic beverages; allow certain direct shipments of wine from out of state.","Legal Issues",,,
"HB 391","Alcoholic beverages; allow direct sales and shipments of wine to be made to residents in this state.","Legal Issues",,,
"SB 2756","Alcoholic beverages; allow direct shipment of certain wines, authorize a wine only package retailer's permit and allow wine tasting.","Legal Issues",,,
"HB 1205","Alcoholic beverages; authorize certain municipalities in dry counties to vote to come out from under the dry law.","Legal Issues","Municipal/County Issues",,
"HB 1418","Alcoholic beverages; authorize limited sales during events at cultural, civic or community arts center.","Legal Issues","Recreation",,
"SB 2763","Alcoholic beverages; authorize limited sales during events at cultural, civic or community arts center.","Legal Issues","Recreation",,
"SB 2858","Alcoholic beverages; authorize the direct shipment of certain wines to persons in this state.","Legal Issues",,,
"HB 1265","Alcoholic beverages; authorize the wholesale sale of wine by private entities.","Legal Issues","Business and Consumers",,
"SB 2798","Alcoholic beverages; authorize the wholesale sale of wine by private entities.","Legal Issues","Business and Consumers",,
"SB 2828","Alcoholic beverages; authorize wine to be sold at wholesale by private entities.","Legal Issues",,,
"HB 1278","Alcoholic beverages; bring forward provisions related to sales in certain qualified resort areas.","Legal Issues",,,
"HB 722","Alcoholic beverages; prohibit adults from allowing party at private premises if minors obtain and adults know.","Legal Issues",,,
"SB 2326","Alcoholic beverages; qualified resort areas may be established in dry counties only after a county-wide vote.","Legal Issues","Municipal/County Issues",,
"HB 1139","Alcoholic beverages; qualified resort areas may be established in dry counties only after a countywide vote.","Legal Issues","Municipal/County Issues",,
"SB 2749","Alcoholic beverages; qualified resort areas may be established in dry counties only after a countywide vote.","Legal Issues","Municipal/County Issues",,
"HB 1025","Alcoholic beverages; require proof of compliance with local zoning rules before issuance of package or on-premises retailer's permit.","Legal Issues",,,
"HR 29","Alcorn State University Alumni Association; commend on its 2010 Mid-Winter Conference.","Education",,,
"HR 32","Alcorn State University National Alumni Association; commend.","Education",,,
"HB 1559","Alcorn State University; provide additional funding sources to enroll more graduate students in nurse educators program.","Education",,,
"SB 2057","Alienation of affections; abolish tort of.","Legal Issues",,,
"HB 416","All-terrain vehicles; authorize on government lands under certain conditions.","Transportation",,,
"HB 794","All-terrain vehicles; establish ownership registration network and provide free safety course.","Transportation",,,
"HB 6","All-terrain vehicles; establish ownership registration network for.","Transportation",,,
"HB 600","All-terrain vehicles; make it lawful for person to operate on county roads if certain conditions are met.","Transportation",,,
"HB 1454","All-terrain vehicles; prohibit on state-maintained highways, roads and streets.","Transportation",,,
"HB 64","All-terrain vehicles; prohibit the operation of on public highways, roads and streets.","Transportation",,,
"SB 2206","All-terrain vehicles; prohibit the use on public highways, roads and streets.","Transportation",,,
"HB 819","All-terrain vehicles; provide penalty for driving on public highways, roads or streets.","Transportation",,,
"SB 2210","All-terrain vehicles; require certificate of number.","Transportation",,,
"SB 2215","All-terrain vehicles; require competency training and helmets under a certain age.","Transportation",,,
"HB 1307","All-terrain vehicles; require owners to obtain a certificate of number.","Transportation",,,
"SB 2807","All-terrain vehicles; require owners to obtain a certificate of number.","Transportation",,,
"HC 74","Allen Nicholson Kurr; commend and congratulate on the honor of receiving the Eagle Scout Award.","Resolutions",,,
"HR 74","Allen Nicholson Kurr; commend and congratulate on the honor of receiving the Eagle Scout Award.","Resolutions",,,
"HR 57","Alpha Kappa Alpha Sorority, Incorporated; commend and recognize.","Resolutions",,,
"HC 90","Alpha Kappa Alpha Sorority; commend and recognize.","Resolutions",,,
"HC 77","Alpha Phi Alpha Fraternity, Inc.; commend and congratulate on hosting 79th anniversary of the Southern Region Convention in Jackson, MS.","Resolutions",,,
"HB 1210","Alternative career track programs and diplomas; require all high schools to provide.","Education","Labor",,
"HB 1292","Alternative career track programs and diplomas; require all high schools to provide.","Education","Labor",,
"HB 871","Alternative diploma/curriculum track for career-technical course of study; require State Department of Education to implement for students interested in.","Education","Labor",,
"HB 1356","Alternative energy transmission; create incentives for technology.","Energy",,,
"SN 75","Alvin Edwin (Al) Gilless, Southaven, Mississippi, Real Estate Commission, remainder of a four year term effective immediately and ending June 30, 2013, representing the 1CD.","Housing and Property",,,
"HC 8","Amend Constitution; Governor's pardoning power; exclude murder and capital murder from.","Legislative Affairs","Crime",,
"HC 6","Amend Constitution; prohibit construing the Constitution as granting the right to have an abortion.","Legislative Affairs","Reproductive Issues",,
"HC 9","Amend Constitution; public hearing for felony crime; require before pardon.","Legislative Affairs","Crime",,
"HC 4","Amend Constitution; restrict use of eminent domain.","Legislative Affairs","Housing and Property",,
"HC 44","Amend Constitution; suffrage restored automatically for first felony conviction upon completion of sentence.","Legislative Affairs","Crime",,
"SR 1","Amend Senate Rules to limit private discourse on the Senate floor while the Senate is in session.","Legislative Affairs",,,
"HB 892","Anatomical gift; Department of Public Safety to indicate donor status on license or ID card.","State Agencies",,,
"HC 64","Andrew Jackson Council of the BSA; commend and congratulate on the 100th Anniversary of BSA.","Resolutions",,,
"HB 1492","Animal cruelty crimes; revise laws regarding.","Animal Rights and Wildlife Issues",,,
"SB 2075","Animal cruelty; revise offense.","Animal Rights and Wildlife Issues",,,
"SB 2074","Animal cruelty; revise.","Animal Rights and Wildlife Issues",,,
"SB 2623","Animal cruelty; revise.","Animal Rights and Wildlife Issues",,,
"SB 2934","Animal cruelty; revise.","Animal Rights and Wildlife Issues",,,
"SB 2971","Animal cruelty; revise.","Animal Rights and Wildlife Issues",,,
"SB 3085","Animal cruelty; revise.","Animal Rights and Wildlife Issues",,,
"HR 8","Anna Tadlock; commend accomplishments as Miss Mississippi 2009.","Resolutions",,,
"HB 52","Annexed territory; prohibit municipality from levying ad valorem taxes until services are provided.","Municipal/County Issues","Budget, Spending and Taxes",,
"SB 3080","Annual compensation for sworn officers of the Mississippi Highway Patrol based on hourly rate; provide for.","State Agencies",,,
"SB 2481","Annual leave for teachers; allow additional accumulation of personal leave.","Education","Labor",,
"SB 2518","Annual school attendance reports by the State Department of Education; clarify date for filing.","Education","State Agencies",,
"SB 2939","Appeal bond; set the maximum amount for appeals from decisions of local governments as to taxes.","Municipal/County Issues","Budget, Spending and Taxes",,
"HB 800","Appellate judges; provide for appointed judges of Supreme Court and Court of Appeals.","Judiciary",,,
"HB 929","Appellate judges; provide for appointed judges of Supreme Court and Court of Appeals.","Judiciary",,,
"HB 568","Application for marriage license; reduce time that it must be on file before license issued by circuit clerk.","Family and Children Issues",,,
"HB 1270","Apprentice hunting license; amend certain requirements.","Recreation","Animal Rights and Wildlife Issues",,
"HB 1080","Appropriation bills; shall contain lump-sum amounts and not major objects of expenditure.","Budget, Spending and Taxes",,,
"SB 2134","Appropriation FY11; Alcorn State University - Agricultural Programs.","Budget, Spending and Taxes","Education","Agriculture and Food",
"SB 2201","Appropriation FY11; SDH operate two STD/HIV clinics in underserved areas of the state.","Budget, Spending and Taxes","Health",,
"SB 3103","Appropriation FY2011; Oakley Training School funded to continue operation as juvenile training facility.","Budget, Spending and Taxes","Education",,
"SB 3159","Appropriation; Agriculture & Commerce - Support and Grain Div.","Budget, Spending and Taxes","Agriculture and Food","Commerce",
"SB 3121","Appropriation; Alcorn State-Agricultural Programs.","Budget, Spending and Taxes","Education","Agriculture and Food",
"SB 3161","Appropriation; Animal Health Board.","Budget, Spending and Taxes","Animal Rights and Wildlife Issues",,
"HB 1574","Appropriation; Archives and History for preplanning new museum of Mississippi's Native American heritage.","Budget, Spending and Taxes","Indigenous Peoples",,
"HB 1604","Appropriation; Archives and History for preplanning new museum of Mississippi's Native American heritage.","Budget, Spending and Taxes","Indigenous Peoples",,
"HB 1633","Appropriation; Arts Commission.","Budget, Spending and Taxes","Arts and Humanities",,
"HB 1653","Appropriation; Athletic Commission.","Budget, Spending and Taxes","Recreation",,
"SB 2881","Appropriation; Attorney General - Boys and Girls Clubs of America from tobacco funds; FY 2011.","Budget, Spending and Taxes","Executive",,
"HB 1616","Appropriation; Attorney General - support.","Budget, Spending and Taxes","Executive",,
"HB 1664","Appropriation; Auctioneers Commission.","Budget, Spending and Taxes",,,
"SB 3139","Appropriation; Banking and Consumer Finance.","Budget, Spending and Taxes","Commerce","Business and Consumers",
"SB 3154","Appropriation; Bd. of Architecture.","Budget, Spending and Taxes",,,
"SB 3157","Appropriation; Bd. of Public Accountancy.","Budget, Spending and Taxes",,,
"HB 1661","Appropriation; Board of Cosmetology.","Budget, Spending and Taxes",,,
"HB 1662","Appropriation; Board of Examiners for Social Workers and Marriage and Family Therapists.","Budget, Spending and Taxes","Social Issues","Family and Children Issues",
"SB 3150","Appropriation; Board of Massage Therapy.","Budget, Spending and Taxes",,,
"HB 1659","Appropriation; Board of Nursing.","Budget, Spending and Taxes","Health",,
"HB 1666","Appropriation; Board of Optometry.","Budget, Spending and Taxes","Health",,
"HB 1656","Appropriation; Board of Psychology.","Budget, Spending and Taxes","Health",,
"SB 3147","Appropriation; Chiropractic Examiners Board.","Budget, Spending and Taxes","Health",,
"HB 1657","Appropriation; Coast Coliseum Commission.","Budget, Spending and Taxes","Recreation",,
"SB 3125","Appropriation; College of Veterinary Medicine.","Budget, Spending and Taxes","Education",,
"SB 3171","Appropriation; Debt Service-Bank Ser. Charge.","Budget, Spending and Taxes","Commerce",,
"SB 3148","Appropriation; Dental Examiners Bd.","Budget, Spending and Taxes","Health",,
"HB 1632","Appropriation; Department of Archives and History.","Budget, Spending and Taxes",,,
"HB 261","Appropriation; Department of Corrections to provide funding for additional field officers.","Budget, Spending and Taxes","Crime",,
"HB 1626","Appropriation; Department of Environmental Quality.","Budget, Spending and Taxes","Environmental",,
"HB 1644","Appropriation; Department of Human Services-Consolidated.","Budget, Spending and Taxes",,,
"HB 248","Appropriation; Department of Insurance for windstorm reinsurance expenses.","Budget, Spending and Taxes","Insurance",,
"HB 1634","Appropriation; Department of Marine Resources.","Budget, Spending and Taxes","Environmental",,
"HB 1667","Appropriation; Department of Transportation.","Budget, Spending and Taxes","Transportation",,
"HB 1625","Appropriation; Department of Wildlife, Fisheries and Parks.","Budget, Spending and Taxes","Animal Rights and Wildlife Issues",,
"SB 3165","Appropriation; Dept. of Audit.","Budget, Spending and Taxes",,,
"SB 3132","Appropriation; Dept. of Corrections - Support and Reimb. Local Confinement.","Budget, Spending and Taxes","Crime",,
"SB 3143","Appropriation; Dept. of Mental Health.","Budget, Spending and Taxes","Health",,
"SB 3135","Appropriation; Dept. Public Safety - Consol.","Budget, Spending and Taxes",,,
"HB 1617","Appropriation; District Attorneys and staff.","Budget, Spending and Taxes","Judiciary",,
"SB 3106","Appropriation; district attorneys; staff, chancellor and circuit judges; additional for FY2010.","Budget, Spending and Taxes","Judiciary",,
"SB 3160","Appropriation; Egg Marketing Bd.","Budget, Spending and Taxes","Agriculture and Food",,
"SB 3133","Appropriation; Emergency Management Agency.","Budget, Spending and Taxes","Public Services",,
"SB 3137","Appropriation; Ethics Comm.","Budget, Spending and Taxes","Legal Issues",,
"SB 3163","Appropriation; Fair and Coliseum Comm. - Support.","Budget, Spending and Taxes",,,
"SB 3162","Appropriation; Fair Comm. - Co. Livestock Show.","Budget, Spending and Taxes","Agriculture and Food",,
"SB 3166","Appropriation; Finance & Admin. Consol.","Budget, Spending and Taxes","Commerce",,
"SB 3124","Appropriation; Forest & Wildlife Research.","Budget, Spending and Taxes","Animal Rights and Wildlife Issues","Environmental",
"SB 3149","Appropriation; Funeral Services Bd.","Budget, Spending and Taxes",,,
"SB 3144","Appropriation; Gaming Commission.","Budget, Spending and Taxes","Gambling and Gaming",,
"SB 3167","Appropriation; Governor's Office and Mansion.","Budget, Spending and Taxes","Executive",,
"HB 1627","Appropriation; Governors Office - Division of Medicaid.","Budget, Spending and Taxes","Executive","Health",
"HB 1635","Appropriation; Grand Gulf Military Monument Commission.","Budget, Spending and Taxes","Military",,
"HB 116","Appropriation; Health Department for additional funds for Office of Health Disparity Elimination.","Budget, Spending and Taxes","Health",,
"HB 1603","Appropriation; Health Department to develop and operate two STD/HIV specialty clinics.","Budget, Spending and Taxes","Health",,
"HB 137","Appropriation; Health Department to provide funding to federally qualified health centers.","Budget, Spending and Taxes","Health",,
"SB 3128","Appropriation; IHL - General Support - Subsidiary Programs -Consol.","Budget, Spending and Taxes","Education",,
"SB 3129","Appropriation; IHL - General Support.","Budget, Spending and Taxes","Education",,
"SB 3122","Appropriation; IHL - MSU -Agriculture & Forestry Exp. Station.","Budget, Spending and Taxes","Education","Agriculture and Food","Environmental"
"SB 3123","Appropriation; IHL - MSU -Cooperative Extension Service.","Budget, Spending and Taxes","Education",,
"HB 1605","Appropriation; IHL for Special Task Force for Revitalization of the Mississippi Delta Region.","Budget, Spending and Taxes","Education",,
"HB 40","Appropriation; IHL for Special Task Force for Revitalization of the Mississippi Delta Region.","Budget, Spending and Taxes","Education",,
"SB 3168","Appropriation; Information Technology Services.","Budget, Spending and Taxes","Technology and Communication",,
"HB 1642","Appropriation; Insurance Department.","Budget, Spending and Taxes","Insurance",,
"SB 3130","Appropriation; Jr. Colleges - Admin.","Budget, Spending and Taxes","Education",,
"SB 3131","Appropriation; Jr. Colleges - Support.","Budget, Spending and Taxes","Education",,
"SB 3138","Appropriation; Judicial Performance Comm.","Budget, Spending and Taxes","Judiciary",,
"HB 1615","Appropriation; Legislative Expense, Regular.","Budget, Spending and Taxes","Legislative Affairs",,
"HB 1624","Appropriation; Library Commission.","Budget, Spending and Taxes","Arts and Humanities",,
"SB 3134","Appropriation; Military Dept.- Support.","Budget, Spending and Taxes","Military",,
"HB 1623","Appropriation; Mississippi Authority for Educational Television.","Budget, Spending and Taxes","Education","Technology and Communication",
"SB 3155","Appropriation; Mississippi Board of Registered Professional Geologists.","Budget, Spending and Taxes","Science and Medical Research",,
"SB 3141","Appropriation; Mississippi Department of Revenue.","Budget, Spending and Taxes","State Agencies",,
"HB 509","Appropriation; Mississippi Department of Transportation to fund certain gaming road projects in Natchez.","Budget, Spending and Taxes","Transportation",,
"SB 3145","Appropriation; Mississippi Development Authority.","Budget, Spending and Taxes","State Agencies",,
"HB 1636","Appropriation; Mississippi River Parkway Commission.","Budget, Spending and Taxes","State Agencies",,
"HB 1641","Appropriation; Mississippi State Port Authority at Gulfport.","Budget, Spending and Taxes","Commerce","State Agency",
"SB 3156","Appropriation; Motor Vehicle Comm.","Budget, Spending and Taxes","Transportation",,
"SB 3140","Appropriation; MS Department of Employment Security.","Budget, Spending and Taxes","Labor",,
