"Income tax: health savings account.","Budget, Spending, and Taxes","Health",,
"Income tax: credit: purchase: principal residence.","Budget, Spending, and Taxes","Housing and Property",,
"Hospital districts.","Health",,,
"Horse racing.","Recreation","Gambling and Gaming",,
"High-Speed Rail Authority.","Transportation",,,
"Health care.","Health",,,
"Health care service plans.","Health",,,
"Gambling: licenses.","Gambling and Gaming",,,
"Foster Care Month.","Family and Children Issues",,,
"Federal transportation economic stimulus funds: 2nd round.","Transportation",,,
"Federal Housing Trust Fund. ","Housing and Property",,,
"Energy: commission and department.","Energy","State Agencies",,
"Employment: meal periods.","Labor and Employment",,,
"Emergency services: property insurance surcharge.","Health",,,
"Emergency medical services.","Health",,,
"Electrical restructuring.","Energy",,,
"Elections: vote by mail.","Campaign Finance and Election Issues",,,
"Elections: vote by mail ballots.","Campaign Finance and Election Issues",,,
"Disaster relief.","Health","Public Services",,
"Department of Motor Vehicles: records: confidentiality.","Transportation",,,
"Deadly weapons.","Guns","Legal Issues",,
"Contractors: workers’ compensation insurance coverage.","Labor and Employment","Insurance",,
"Contracting for noninstructional services.","Labor and Employment",,,
"Community care facilities.","Health",,,
"Common interest developments.","Other",,,
"Cinco de Mayo Week.","Other",,,
"Chino Valley Unified School District: minimum schoolday.","Education",,,
"California Global Warming Solutions Act of 2006: market-based compliance mechanisms.","Environmental","Commerce",,
"California Global Warming Solutions Act of 2006.","Environmental",,,
"California Children and Families Program: funding.","Family and Children Issues",,,
"Bonds.","Commerce",,,
"Black History Month.","Civil Liberties and Civil Rights",,,
"Bail.","Crime",,,
"Ammunition.","Guns",,,
"Alcoholic beverages: tied-house restrictions.","Legal Issues",,,
"Air pollution.","Environmental",,,
"Acupuncture.","Health",,,
"Accountants.","Health",,,
"Youths.","Family and Children Issues",,,
"Yellow Ribbon Week. ","Other",,,
"Workers’ compensation: cancer presumption.","Labor and Employment","Health",,
"West Nile Virus and Mosquito and Vector Control Awareness Week.","Health",,,
"Water.","Environmental","Health",,
"Water supply reliability, flood control, water resources management, and wildlife preservation.","Environmental","Animal Rights and Wildlife Issues",,
"Water resources.","Environmental",,,
"Water recycling.","Environmental",,,
"Water quality: mandatory minimum civil penalties.","Environmental","Legal Issues",,
"Water conservation: urban water use.","Environmental",,,
"Water conservation: urban water management.","Environmental",,,
"Voter registration.","Campaign Finance and Election Issues",,,
"Viral Hepatitis Awareness Day.","Health",,,
"Victims of sexual assault.","Crime",,,
"Veterinary medicine.","Science and Medical Research",,,
"Veterans affairs: administration. ","Military",,,
"Vehicles: traffic violator schools.","Transportation",,,
"Vehicles: parking.","Transportation",,,
"Vehicles: off-highway motor vehicles.","Transportation",,,
"Vehicles: motor vehicle speed contests.","Transportation",,,
"Vehicles: manufacturers and distributors.","Transportation",,,
"Vehicles: licensed dealers and salespersons.","Transportation",,,
"Vehicles: HOV lanes.","Transportation",,,
"Vehicles: Department of Motor Vehicles: omnibus bill. ","Transportation",,,
"Vandalism.","Crime",,,
"Validations.","Legal Issues",,,
"Urban water suppliers: urban water management plans.","Public Services",,,
"Unlawful detainer: controlled substances and firearms.","Legal Issues","Crime","Guns",
"Unemployment insurance: use of information for tax purposes.","Labor and Employment","Budget, Spending, and Taxes",,
"Unemployment insurance.","Labor and Employment","Insurance",,
"Unemployment Insurance Appeals Board.","Labor and Employment","Insurance",,
"Undocumented criminal aliens: costs of incarceration: collection of data. ","Immigration","Crime",,
"Tribal gaming: revenue sharing.","Indigenous Peoples","Gambling and Gaming",,
"Tribal customary adoption.","Indigenous Peoples",,,
"Transportation: general obligation bonds: letters of no prejudice.","Transportation",,,
"Tissue bank licensing.","Health",,,
"The State Water Resources Law of 1945.","Environmental","Legislative Affairs",,
"The State Bar Act: fees.","Legal Issues",,,
"The California Economic Development Strategic Plan.","Budget, Spending, and Taxes",,,
"Teacher credentialing.","Education",,,
"Taxation: marijuana.","Budget, Spending, and Taxes",,,
"Taxation: federal conformity.","Budget, Spending, and Taxes","Federal, State, and Local Relations",,
"Taxation: corporate reorganizations: built-in losses.","Budget, Spending, and Taxes","Commerce",,
"Taxation: State Board of Equalization: Franchise Tax Board: burden of proof.","Budget, Spending, and Taxes",,,
"Surplus state real property.","Housing and Property",,,
"Substance abuse: treatment facilities.","Health","Public Services",,
"Subdivision maps.","Housing and Property",,,
"State teachers’ retirement.","Labor and Employment","Senior Issues",,
"State real property.","Housing and Property",,,
"State property.","Housing and Property",,,
"State mandates.","State Agencies",,,
"State government: integrated waste management board: abolishment.","Environmental","State Agencies",,
"State finance.","Budget, Spending, and Taxes",,,
"State employment: salary freeze. ","Labor and Employment","Budget, Spending, and Taxes",,
"State employees: compensation.","Labor and Employment",,,
"State claims. ","State Agencies",,,
"State claims.","State Agencies",,,
"State agency Internet Web sites: information.","State Agencies","Technology and Communication",,
"State Water Resources Development System: Delta Corridors Plan.","Environmental","State Agencies",,
"State Water Resources Development System.","Environmental","State Agencies",,
"State Water Pollution Control Revolving Fund.","Environmental",,,
"State Budget: key liabilities.","Budget, Spending, and Taxes",,,
"State Auditor: analysis of regulations.","State Agencies",,,
"State Air Resources Board: regulations: Legislative Analyst’s Office: report.","Environmental","State Agencies",,
"Solid waste: single-use carryout bags.","Environmental",,,
"Solid waste: recycling market development.","Environmental",,,
"Solid waste: diversion.","Environmental","Public Services",,
"Solar energy systems.","Environmental",,,
"Social host liability: furnishing alcohol to underage persons.","Crime",,,
"Shopping carts: electronic tags. ","Business and Consumers",,,
"Sexually violent predators.","Crime",,,
"Senior Volunteer Month.","Senior Issues",,,
"Self-funded dental benefit plans: administrators.","Health",,,
"Secondhand dealers and coin dealers.","Business and Consumers",,,
"School facilities: district deferred maintenance fund.","Education",,,
"School facilities funding: high performance schools.","Education",,,
"School districts: compensation of district superintendents.","Education",,,
"School districts.","Education",,,
"School accountability.","Education",,,
"Santa Clara Valley Water District.","Environmental",,,
"Santa Clara Valley Transportation Authority.","Transportation",,,
"Sales and use taxes: exemption: fixed price contract.","Budget, Spending, and Taxes",,"Commerce",
"Sales and use taxes: exemption: energy efficient products.","Budget, Spending, and Taxes","Energy","Commerce",
"Sales and use taxes: exemption: business equipment. ","Budget, Spending, and Taxes",,"Commerce",
"Sales and use taxes: exclusion: trade-in vehicle.","Budget, Spending, and Taxes","Transportation","Commerce",
"Sales and use taxes: exclusion: trade-in motor vehicle.","Budget, Spending, and Taxes","Transportation","Commerce",
"Sales and use taxes.","Budget, Spending, and Taxes",,"Commerce",
"Sales and use tax: exemptions manufacturing and research and development equipment.","Budget, Spending, and Taxes","Science and Medical Research","Commerce",
"Sales and use tax: State Board of Equalization: administration: interest.","Budget, Spending, and Taxes",,"Commerce",
"Safety in employment: ski resorts.","Labor and Employment","Recreation",,
"Safe, Clean, and Reliable Drinking Water Supply Act of 2010: flood protection.","Environmental",,,
"Sacramento-San Joaquin Delta: peripheral canal.","Environmental",,,
"Ronald Reagan Day.","Resolutions",,,
"Reverse mortgages.","Housing and Property",,,
"Retail tobacco sales: licenses.","Commerce","Legal Issues",,
"Residential care facilities for the elderly.","Senior Issues",,,
"Regulatory boards: operations.","Legal Issues",,,
"Regulatory boards.","Legal Issues",,,
"Redevelopment: plans.","Housing and Property",,,
"Redevelopment: payment for land or buildings.","Housing and Property",,,
"Recycling: California redemption value containers.","Environmental",,,
"Real estate brokers.","Housing and Property",,,
"Real estate appraisers.","Housing and Property",,,
"Read Across America Day.","Education",,,
"Race to the Top program.","Education",,,
"Pupil attendance.","Education",,,
"Pupil assessments.","Education",,,
"Public utilities: rates.","Public Services",,,
"Public schools: Race to the Top.","Education",,,
"Public school employees: merit system.","Education","Labor and Employment",,
"Public retirement: final compensation: computation: retirees.","Labor and Employment","Senior Issues",,
"Public resources: ballast water management.","Public Services",,,
"Public records.","Public Services",,,
"Public employees’ retirement: postretirement death benefits. ","Labor and Employment","Senior Issues",,
"Public contracts: small business participation.","Business and Consumers",,,
"Public contracts: bid preferences: employee health care expenditures.","Labor and Employment","Health","Insurance",
"Public contracts: Small Business Procurement and Contract Act.","Business and Consumers",,,
"Public contracts: Prison Industry Authority.","Business and Consumers",,,
"Public Utilities Act.","Public Services",,,
"Prostate Cancer Awareness Month.","Health",,,
"Property taxation: change in ownership: exclusion.","Housing and Property",,,
"Property tax: base year value transfers.","Housing and Property",,,
"Probation.","Crime",,,
"Practice of medicine: cosmetic surgery: employment of physicians and surgeons.","Health",,,
"Postsecondary education.","Education",,,
"Political Reform Act of 1974: electronic filing.","Campaign Finance and Election Issues",,,
"Political Reform Act of 1974: committees.","Campaign Finance and Election Issues",,,
"Political Reform Act of 1974.","Campaign Finance and Election Issues",,,
"Personal information: privacy.","Legal Issues",,,
"Personal income taxes: withholding.","Budget, Spending, and Taxes",,,
"Peace officer training.","Crime",,,
"Outdoor advertising.","Commerce",,,
"Out-of-state carriers.","Commerce",,,
"Orange County Fair: sale of state property.","Municipal and County Issues",,,
"Onsite sewage treatment systems.","Public Services",,,
"Nurse practitioners.","Health",,,
"Notaries public.","Legal Issues",,,
"New United Motor Manufacturing, Inc.","Transportation","Business and Consumers",,
"Neighborhood electric vehicles.","Transportation",,,
"Natural resources: climate change.","Environmental",,,
"Natural community conservation plans.","Environmental",,,
"National Purple Heart Trail.","Military",,,
"National Library Week.","Education",,,
"Motor vehicle insurance: direct repair programs.","Transportation",,,
"Mortgages: foreclosures.","Housing and Property",,,
"Mortgages and deeds of trust: foreclosure.","Housing and Property",,,
"Mobilehome parks.","Housing and Property",,,
"Mobilehome Parks Act.","Housing and Property",,,
"Mobile telephony service.","Technology and Communication",,,
"Milton Marks Commission: membership: Members of the Legislature.","Legislative Affairs",,,
"Military service: benefits.","Military",,,
"Medi-Cal: treatment authorization requests.","Health",,,
"Medi-Cal: continuous eligibility: semiannual status reports. ","Health",,,
"Meal periods.","Labor and Employment",,,
"Maternity services.","Reproductive Issues","Sexual Orientation and Gender Issues",,
"Marriage.","Family and Children Issues",,,
"Marijuana Control, Regulation, and Education Act.","Legal Issues",,,
"Lyme Disease Awareness Month.","Health",,,
"Low-income housing tax credits.","Housing and Property","Budget, Spending, and Taxes",,
"Los Angeles County Metropolitan Transportation Authority: contracting.","Municipal and County Issues","Transportation",,
"Long-term health care facilities: ratings.","Health",,,
"Long-term health care facilities.","Health",,,
"Local government: reorganization.","Municipal and County Issues",,,
"Local government: city councils.","Municipal and County Issues",,,
"Local government renewable energy self-generation program.","Municipal and County Issues",,,
"Local Housing Trust Fund Matching Grant Program.","Housing and Property",,,
"Legislative procedure: committee referrals: Joint Committee on Boards, Commissions, and Consumer or Business Protection.","Business and Consumers",,,
"Labor representatives: elections.","Labor and Employment","Campaign Finance and Election Issues",,
"Korean-American Day.","Resolutions",,,
"Judgments: interest.","Judiciary",,,
"Irish American Heritage Month.","Other",,,
"Invasive aquatic species: mussels.","Environmental","Animal Rights and Wildlife Issues",,
"International relations.","Other",,,
"Integrated waste management: transfer of authority.","Environmental","Public Services",,
"Insurance: Guarantee Association.","Insurance",,,
"Insurance omnibus.","Insurance",,,
"Instructional materials. ","Insurance",,,
"Inmates: identification cards.","Crime",,,
"Initiatives.","Other",,,
"Income taxes: tax tables.","Budget, Spending, and Taxes",,,
"Income taxation: exclusion: grants for specified energy property. ","Budget, Spending, and Taxes","Energy",,
"Income tax: health savings accounts.","Budget, Spending, and Taxes","Health",,
"Income and corporation taxes: credits: qualified motion picture production.","Budget, Spending, and Taxes","Business and Consumers",,
"Imprisonment: parole: programs.","Crime",,,
"Hypodermic needles and syringes.","Health",,,
"Human trafficking: minors.","Crime","Family and Children Issues",,
"Housing and community development: redevelopment.","Housing and Property",,,
"Horse racing: satellite wagering facilities.","Gambling and Gaming","Recreation",,
"High school athletics: training for coaches.","Education",,,
"Healthy Families Program.","Education",,,
"Health facilities: program flexibility.","Education",,,
"Earth Hour.","Environmental",,,
"Health care reform.","Health","Insurance",,
"Health care providers: reasonable disclosure: reproductive choices.","Health","Insurance",,
"Health care coverage: solicitation.","Health","Insurance",,
"Health care coverage: report of claim information.","Health","Insurance",,
"Health care coverage: rate approval.","Health","Insurance",,
"Health care coverage: pricing.","Health","Insurance",,
"Health care coverage: prescriptions.","Health","Insurance",,
"Health care coverage: mental health services.","Health","Insurance",,
"Health care coverage: children.","Health","Insurance","Family and Children Issues",
"Healing arts: peer review.","Health","Insurance",,
"Hazardous substances: underground storage tanks.","Health",,,
"Hazardous materials: toxic substances.","Health",,,
"Hate crimes.","Crime",,,
"Green building standards.","Environmental","Housing and Property",,
"Graduation requirements.","Education",,,
"Gasoline: vapor recovery systems.","Energy","Environmental","Transportation",
"Game hunting.","Gambling and Gaming",,,
"Gambling Control Act: administration.","Gambling and Gaming",,,
"Franchise and income tax law: information returns.","Budget, Spending, and Taxes","Business and Consumers",,
"Franchise Tax Board: tax expenditure reporting.","Budget, Spending, and Taxes","Business and Consumers",,
"Franchise Tax Board: professional or occupational licenses.","Budget, Spending, and Taxes","Business and Consumers",,
"Forest practices: timber harvesting plans.","Environmental",,,
"Firefighting.","Public Services",,,
"Financial institutions.","Commerce",,,
"Financial Aid and Literacy Month.","Commerce","Education",,
"Family law.","Legal Issues","Family and Children Issues",,
"Family and medical leave.","Health","Labor and Employment","Family and Children Issues",
"Escrow agents.","Commerce",,,
"Environment: CEQA.","Environmental",,,
"Energy: State Energy Resources Conservation and Development Commission: regulations.","Energy",,,
"Employment: payment of wages.","Labor and Employment",,,
"Employment: entertainment work permits.","Labor and Employment","Recreation",,
"Employment.","Labor and Employment",,,
"Emergencies.","Health",,,
"Electricity: rates.","Energy",,,
"Elections: voter registration.","Campaign Finance and Election Issues",,,
"Elections: provisional ballots.","Campaign Finance and Election Issues",,,
"Elections: initiatives.","Campaign Finance and Election Issues",,,
"Elections: ballots.","Campaign Finance and Election Issues",,,
"Elections: ballot titles.","Campaign Finance and Election Issues",,,
"Elections: ballot cards and voting systems.","Campaign Finance and Election Issues",,,
"Elections: all-mailed ballot elections. ","Campaign Finance and Election Issues",,,
"Elections.","Campaign Finance and Election Issues",,,
"Education: physical education.","Education",,,
"Education finance: study relating to weighted pupil funding formulas.","Education",,,
"Education finance: federal American Recovery and Reinvestment Act of 2009.","Education",,,
"Education data.","Education",,,
"Economic stimulus.","Education",,,
"Economic development: projects. ","Education",,,
"Economic crisis.","Budget, Spending, and Taxes",,,
"Earth Hour.","Health",,,
"Domestic violence.","Crime","Family and Children Issues",,
"Discrimination in employment.","Labor and Employment",,,
"Disaster relief: County of Los Angeles.","Municipal and County Issues","Public Services","Health",
"Developmental services: regional centers.","Public Services",,,
"Design-build contracts: labor compliance program: exemptions.","Housing and Property","Labor and Employment",,
"Dependent children: psychotropic medications.","Health","Family and Children Issues",,
"Dependent children.","Family and Children Issues",,,
"Department of Forestry and Fire Protection: employment: criminal background checks.","Environmental","Labor and Employment","Legal Issues",
"Department of Corrections and Rehabilitation.","Crime","State Agencies",,
"Dentistry.","Health",,,
"Delta Stewardship Council.","Other",,,
"Defibrillators.","Health",,,
"Deferred deposit transactions.","Commerce",,,
"Day of the Special Educator.","Education",,,
"Day of Remembrance.","Resolutions",,,
"César Chávez Day.","Civil Liberties and Civil Rights",,,
"Criminal procedure: narcotics and drug abuse cases.","Crime",,,
"Crime.","Crime",,,
"Crime Victims’ Rights Week.","Crime",,,
"Creative Industries and Community Economic Revitalization Act of 2010.","Legislative Affairs","Commerce",,
"Corporate reorganization: built-in losses.","Commerce",,,
"Contractual assessments.","Labor and Employment",,,
"Contractors.","Labor and Employment",,,
"Consumer arbitration cases: disclosures.","Business and Consumers",,,
"Community colleges: economic and workforce development.","Education",,,
"Community colleges.","Education",,,
"Commercial hunting clubs.","Gambling and Gaming","Animal Rights and Wildlife Issues",,
"Colorectal Cancer Awareness Month.","Health",,,
"Civil service examinations: veterans’ preference.","Military","Labor and Employment",,
"Civil rights.","Civil Liberties and Civil Rights",,,
"Chronic obstructive pulmonary disease awareness.","Health",,,
"Children: wrap-around services.","Family and Children Issues",,,
"Cemeteries.","Other",,,
"Capital access companies.","Business and Consumers",,,
"California regional water quality control boards.","Environmental",,,
"California Workforce Investment Board: Green Collar Jobs Council.","Labor and Employment","Environmental",,
"California Public Safety Telecommunicators Week.","Technology and Communication",,,
"California Peace Officers’ Memorial Day. ","Resolutions",,,
"California Golf Week. ","Recreation",,,
"California Global Warming Solutions Act of 2006: revenue allocations.","Environmental","Budget, Spending, and Taxes",,
"California Community Colleges: student transfer.","Education",,,
"California Community Colleges: faculty.","Education",,,
"Body armor.","Crime",,,
"Biologics.","Science and Medical Research",,,
"Bingo: remote caller bingo.","Recreation",,,
"Barbering and cosmetology.","Other",,,
"Autism Awareness Month.","Health",,,
"Asian and Pacific Islander American Heritage Month.","Other",,,
"Arson.","Crime",,,
"Armenian Genocide: Day of Remembrance.","Resolutions",,,
"American Heart Month and Wear Red Day.","Health",,,
"Alcoholic beverages: advertising.","Legal Issues","Commerce",,
"Alcohol beverages: places of consumption.","Legal Issues",,,
"Airports: airport land use commissions. ","Transportation",,,
"Agricultural resources: grants.","Agriculture and Food",,,
"After school programs.","Education",,,
"Advanced placement program.","Education",,,
"Adult education.","Education",,,
"Adult day health care centers. ","Health",,,
"2010–11 Budget.","Budget, Spending, and Taxes",,,
"2009–10 Second Extraordinary Session: final adjournment.","Legislative Affairs",,,
"2009–10 Fifth Extraordinary Session: final adjournment.","Legislative Affairs",,,
"2009–10 Eighth Extraordinary Session: final adjournment.","Legislative Affairs",,,
"2009–10 Budget.","Budget, Spending, and Taxes",,,
" Income and corporation taxes: net capital gains: exclusion. ","Budget, Spending, and Taxes","Commerce",,
" American Recovery and Reinvestment Plan: energy activities, programs, or projects.","Energy",,,
"“211” telephone number system.","Technology and Communication",,,
"vehicles: traffic violations: driving instruction: program.","Transportation",,,
"state property.","State Agencies",,,
"lactation accommodation, state employees.","Reproductive Issues","Sexual Orientation and Gender Issues","Labor and Employment",
"home dialysis agencies.","Health",,,
"Youthful offenders.","Crime","Family and Children Issues",,
"Wrongful convictions.","Crime",,,
"Written acknowledgment: medical nutrition therapy.","Health",,,
"World War II: Italian Americans.","Resolutions",,,
"Works of improvement: payments.","Other",,,
"Works of improvement: liens. ","Housing and Property",,,
"Works of improvement.","Other",,,
"Works of authorship: residual benefits.","Other",,,
"Workforce development: one-stop career center systems.","Labor and Employment",,,
"Workforce development: lifelong learning pilot program.","Labor and Employment",,,
"Workforce development: Youth at Work Program.","Labor and Employment",,,
"Workforce development: Renewable Energy Workforce Readiness Initiative: local workforce investment boards.","Labor and Employment","Energy",,
"Workforce development: California School Paraprofessional Teacher Training Program.","Labor and Employment","Education",,
"Workforce development program: high-speed rail.","Labor and Employment","Transportation",,
"Workers’ rights.","Labor and Employment",,,
"Workers’ compensations insurance: rating organizations: statistical agent.","Labor and Employment",,,
"Workers’ compensation: utilization review.","Labor and Employment",,,
"Workers’ compensation: treatment authorization.","Labor and Employment",,,
"Workers’ compensation: temporary partial disability.","Labor and Employment",,,
"Workers’ compensation: temporary disability.","Labor and Employment",,,
"Workers’ compensation: supplemental job displacement benefits.","Labor and Employment",,,
"Workers’ compensation: pure premium rate.","Labor and Employment",,,
"Workers’ compensation: public employees: medical conditions. ","Labor and Employment","Health",,
"Workers’ compensation: public employees: leaves of absence. ","Labor and Employment",,,
"Workers’ compensation: public employees: leaves of absence.","Labor and Employment",,,
"Workers’ compensation: permanent partial disability benefits.","Labor and Employment","Health",,
"Workers’ compensation: permanent disability rating schedule.","Labor and Employment",,,
"Workers’ compensation: permanent disability benefits.","Labor and Employment",,,
"Workers’ compensation: penalty assessments.","Labor and Employment",,,
"Workers’ compensation: official medical fee schedule.","Labor and Employment","Health",,
"Workers’ compensation: medical treatment: predesignation of physician. ","Labor and Employment","Health",,
"Workers’ compensation: lien claims.","Labor and Employment","Legal Issues",,
"Workers’ compensation: injury presumption: heart trouble.","Labor and Employment","Health",,
"Workers’ compensation: individual identifiable information.","Labor and Employment",,,
"Workers’ compensation: hospital employees: presumption. ","Labor and Employment","Health",,
"Workers’ compensation: health care organizations. ","Labor and Employment","Health",,
"Workers’ compensation: group self-insurers: audits.","Labor and Employment","Health",,
"Workers’ compensation: fraud prevention and detection.","Labor and Employment",,,
"Workers’ compensation: exclusions: farming operations. ","Labor and Employment","Agriculture and Food",,
"Workers’ compensation: disability indemnity.","Labor and Employment",,,
"Workers’ compensation: claims administration.","Labor and Employment",,,
"Workers’ compensation: Internet Web sites.","Labor and Employment","Technology and Communication",,
"Workers’ compensation. ","Labor and Employment",,,
"Workers’ compensation insurance: rating organizations: statistical agent.","Labor and Employment",,,
"Work-based learning. ","Labor and Employment",,,
"Work-based learning.","Labor and Employment",,,
"Women’s History Month and International Women’s Day.","Sexual Orientation and Gender Issues",,,
"Women Veterans Recognition Month.","Military","Sexual Orientation and Gender Issues",,
"Witnesses: appearance before trial court: written undertakings.","Legal Issues",,,
"Windshield: video event recorder.","Transportation",,,
"Wind energy.","Energy",,,
"Williamson Act.","Legislative Affairs",,,
"Wildlife management areas: nontoxic shot.","Animal Rights and Wildlife Issues",,,
"Wildfires: United States Forest Service.","Environmental",,,
"Whistleblower protection.","Business and Consumers",,,
"Whistleblower Protection Act: Administrative Office of the Courts. ","Business and Consumers","Judiciary",,
"Westlands Water District: electricity generation and delivery. ","Energy",,,
"Welfare reform.","Welfare and Poverty",,,
"Welcome Home Vietnam Veterans Day.","Military",,,
"Weights and measures: inspection: fees.","Legal Issues",,,
"Water: unreasonable use.","Public Services",,,
"Water: public use.","Public Services",,,
"Water: delta levee maintenance.","Environmental",,,
"Water: Central Valley Flood Protection Board: notice to applicants.","Environmental",,,
"Water utility and chemical facilities: Inherently Safer Technology (IST).","Environmental",,,
"Water use: Sacramento-San Joaquin Delta watershed.","Environmental",,,
"Water use.","Environmental",,,
"Water supply security: reports.","Environmental",,,
"Water supply planning.","Environmental",,,
"Water resources: salinity: water softeners.","Environmental",,,
"Water resources: desalination.","Environmental",,,
"Water replenishment districts. ","Environmental",,,
"Water quality: waste discharge requirements: waivers.","Environmental",,,
"Water quality: treatment chemicals.","Environmental",,,
"Water quality: stormwater and other runoff.","Environmental",,,
"Water quality: interceptor and trap grease. ","Environmental",,,
"Water quality: discharge requirements: mandatory minimum penalties.","Environmental","Legal Issues",,
"Water quality objectives: potential threats.","Environmental",,,
"Water diversion: statements of water diversion and use.","Environmental",,,
"Water diversion and use: reporting.","Environmental",,,
"Water development projects: state financial assistance.","Environmental",,,
"Water development projects: flood control and watershed protection.","Environmental",,,
"Water development projects: Sacramento-San Joaquin watersheds.","Environmental",,,
"Water consumption fee.","Environmental",,,
"Water conservation: urban retail water suppliers.","Environmental",,,
"Water conservation. ","Environmental",,,
"Water conservation.","Environmental",,,
"Water charges and meters: multiunit residential structures. ","Environmental","Housing and Property",,
"Water Supply Reliability and Ecosystem Recovery and Restoration Act of 2009.","Environmental",,,
"Water Resources: The California Water Plan.","Environmental",,,
"Water Infrastructure Bond Act.","Environmental",,,
"Water Conservation in Landscaping Act: terms.","Environmental",,,
"Wasted food.","Agriculture and Food",,,
"Waste tire haulers: registration.","Business and Consumers",,,
"Wardens: Senate confirmation.","Legislative Affairs",,,
"Wages: prohibited forms of payment.","Labor and Employment",,,
"Wage statement: violations.","Labor and Employment","Legal Issues",,
"Voting: replacement ballots.","Campaign Finance and Election Issues",,,
"Voting: polling place procedures.","Campaign Finance and Election Issues",,,
"Voting: felons.","Campaign Finance and Election Issues","Crime",,
"Voting.","Campaign Finance and Election Issues",,,
"Voter-approved local assessment.","Campaign Finance and Election Issues",,,
"Voter registration: requirements.","Campaign Finance and Election Issues",,,
"Voter registration: affidavits: rebuttable presumptions.","Campaign Finance and Election Issues",,,
"Voter registration: action to compel registration.","Campaign Finance and Election Issues",,,
"Voter identification: proof of identity.","Campaign Finance and Election Issues",,,
"Voter education: citizenship.","Campaign Finance and Election Issues",,,
"Voter Registration Modernization Act of 2009.","Campaign Finance and Election Issues",,,
"Vote by mail ballots: telephone applications.","Campaign Finance and Election Issues",,,
"Vote by mail ballots.","Campaign Finance and Election Issues",,,
