"Trusts","Legal Issues",,
"Unemployment Insurance","Insurance","Labor and Employment",
"Uniform Acts","Legislative Affairs",,
"Uniform Commercial Code","Commerce",,
"University of Minnesota","Education",,
"Veterans and Veterans Affairs Department","Military",,
"Veterinary Medicine","Animal Rights and Wildlife Issues","Health",
"Volunteers","Other",,
"Wages","Labor and Employment",,
"Wages and Salaries","Labor and Employment",,
"Waste and Waste Management","Public Services",,
"Water and Soil Conservation","Environmental",,
"Watershed Districts","Environmental",,
"Waters-Lakes","Environmental",,
"Waters-Rivers","Environmental",,
"Water, Water Resources, and Waterways","Environmental",,
"Weights and Measures","Other",,
"Wetlands","Environmental",,
"Wetlands and Natural Habitat","Environmental",,
"Wildlife Management and Habitat","Animal Rights and Wildlife Issues",,
"Women","Sexual Orientation and Gender Issues",,
"Workers Compensation","Labor and Employment",,
"Zoos","Animal Rights and Wildlife Issues",,
